 Date,Region, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Unemployed, Estimated Labour Participation Rate (%)
 31-01-2016,Andhra Pradesh, Monthly,17.11,"15,403,662","2,635,567",67.4
 29-02-2016,Andhra Pradesh, Monthly,10.08,"13,879,174","1,399,021",55.92
 31-03-2016,Andhra Pradesh, Monthly,8.74,"14,314,579","1,251,094",56.76
 30-04-2016,Andhra Pradesh, Monthly,3.97,"14,045,983","557,626",52.87
 31-05-2016,Andhra Pradesh, Monthly,5.94,"15,873,974","942,914",60.94
 30-06-2016,Andhra Pradesh, Monthly,3.54,"13,006,747","460,439",48.64
 31-07-2016,Andhra Pradesh, Monthly,4.98,"14,165,099","705,422",53.71
 31-08-2016,Andhra Pradesh, Monthly,3.01,"13,558,769","408,119",50.31
 30-09-2016,Andhra Pradesh, Monthly,8.47,"14,568,750","1,233,973",57.22
 31-10-2016,Andhra Pradesh, Monthly,11.11,"13,709,005","1,523,070",55.38
 30-11-2016,Andhra Pradesh, Monthly,4.87,"13,757,647","669,997",51.88
 31-12-2016,Andhra Pradesh, Monthly,4.07,"13,162,991","535,734",49.17
 31-01-2017,Andhra Pradesh, Monthly,5.86,"14,405,379","844,155",54.77
 28-02-2017,Andhra Pradesh, Monthly,4.83,"12,994,162","627,618",48.82
 31-03-2017,Andhra Pradesh, Monthly,2.78,"13,379,892","371,961",49.15
 30-04-2017,Andhra Pradesh, Monthly,2.75,"13,143,105","361,435",48.22
 31-05-2017,Andhra Pradesh, Monthly,1.7,"13,107,658","222,830",47.52
 30-06-2017,Andhra Pradesh, Monthly,3.76,"12,607,286","474,034",46.64
 31-07-2017,Andhra Pradesh, Monthly,2.51,"12,972,951","325,621",47.32
 31-08-2017,Andhra Pradesh, Monthly,2.49,"12,749,708","317,468",46.45
 30-09-2017,Andhra Pradesh, Monthly,5.91,"13,683,892","808,718",51.61
 31-10-2017,Andhra Pradesh, Monthly,2.96,"12,131,064","359,079",44.31
 30-11-2017,Andhra Pradesh, Monthly,3.19,"13,011,182","415,057",47.59
 31-12-2017,Andhra Pradesh, Monthly,3.45,"13,545,548","467,321",49.62
 31-01-2018,Andhra Pradesh, Monthly,4.79,"13,061,886","625,664",48.46
 28-02-2018,Andhra Pradesh, Monthly,4.38,"12,414,387","543,750",45.82
 31-03-2018,Andhra Pradesh, Monthly,4.17,"12,583,382","524,727",46.29
 30-04-2018,Andhra Pradesh, Monthly,2.8,"12,141,674","339,967",43.99
 31-05-2018,Andhra Pradesh, Monthly,3.64,"12,309,016","448,048",44.93
 30-06-2018,Andhra Pradesh, Monthly,4.78,"11,577,611","553,410",42.72
 31-07-2018,Andhra Pradesh, Monthly,5.26,"12,636,224","664,665",46.82
 31-08-2018,Andhra Pradesh, Monthly,4.03,"12,338,427","497,239",45.07
 30-09-2018,Andhra Pradesh, Monthly,4.06,"12,442,778","505,177",45.42
 31-10-2018,Andhra Pradesh, Monthly,5.74,"10,894,155","625,324",40.43
 30-11-2018,Andhra Pradesh, Monthly,4.67,"12,084,598","564,351",44.3
 31-12-2018,Andhra Pradesh, Monthly,3.9,"12,222,642","476,683",44.39
 31-01-2019,Andhra Pradesh, Monthly,4.67,"12,748,903","595,374",46.63
 28-02-2019,Andhra Pradesh, Monthly,5.75,"10,842,104","623,421",40.07
 31-03-2019,Andhra Pradesh, Monthly,4.96,"11,581,513","574,443",42.4
 30-04-2019,Andhra Pradesh, Monthly,3.56,"12,784,615","455,132",46.07
 31-05-2019,Andhra Pradesh, Monthly,3.65,"11,999,141","437,969",43.24
 30-06-2019,Andhra Pradesh, Monthly,3.05,"11,755,881","358,554",42.05
 31-07-2019,Andhra Pradesh, Monthly,3.75,"12,086,709","453,252",43.5
 31-08-2019,Andhra Pradesh, Monthly,3.32,"12,285,689","407,885",43.97
 30-09-2019,Andhra Pradesh, Monthly,5.17,"12,256,763","633,675",44.68
 31-10-2019,Andhra Pradesh, Monthly,3.52,"12,017,405","423,013",43.01
 30-11-2019,Andhra Pradesh, Monthly,4.12,"11,397,681","469,584",41
 31-12-2019,Andhra Pradesh, Monthly,4.38,"12,528,397","548,744",45.14
 31-01-2020,Andhra Pradesh, Monthly,4.84,"12,016,676","581,607",43.46
 29-02-2020,Andhra Pradesh, Monthly,5.91,"11,723,617","692,866",42.83
 31-03-2020,Andhra Pradesh, Monthly,4.06,"11,359,660","461,202",40.66
 30-04-2020,Andhra Pradesh, Monthly,16.29,"8,792,827","1,432,352",36.03
 31-05-2020,Andhra Pradesh, Monthly,14.46,"9,526,902","1,377,590",38.16
 30-06-2020,Andhra Pradesh, Monthly,2.44,"14,855,579","362,476",52.12
 31-07-2020,Andhra Pradesh, Monthly,7.79,"11,272,862","878,156",41.8
 31-08-2020,Andhra Pradesh, Monthly,5.84,"10,762,372","628,523",39.04
 30-09-2020,Andhra Pradesh, Monthly,5.43,"10,817,388","587,384",39.02
 31-10-2020,Andhra Pradesh, Monthly,6.55,"10,490,186","687,107",38.25
 30-11-2020,Andhra Pradesh, Monthly,4.74,"11,133,820","527,743",39.79
 31-12-2020,Andhra Pradesh, Monthly,6.51,"11,238,274","731,612",40.87
 31-01-2021,Andhra Pradesh, Monthly,2.95,"11,776,946","347,420",41.22
 28-02-2021,Andhra Pradesh, Monthly,3.14,"11,736,108","368,514",41.11
 31-03-2021,Andhra Pradesh, Monthly,5.39,"11,130,399","599,929",39.87
 30-04-2021,Andhra Pradesh, Monthly,3.56,"11,244,637","400,309",39.47
 31-05-2021,Andhra Pradesh, Monthly,13.55,"10,637,083","1,441,325",41.61
 30-06-2021,Andhra Pradesh, Monthly,7.47,"10,810,677","807,558",39.47
 31-07-2021,Andhra Pradesh, Monthly,8.93,"10,873,035","970,962",40.29
 31-08-2021,Andhra Pradesh, Monthly,5.77,"11,524,239","664,949",41.22
 30-09-2021,Andhra Pradesh, Monthly,5.44,"12,234,535","665,559",43.56
